negyedev,szcenario,y,c,ii,i_S,i_L,efp_S,efp_L,xx,infl,r,rer,dep
27,optimista,0.00430651271259667,0.00744870061458678,0.041498917816011,0.0426744214930673,0.0403234141389547,-0.000554166854513338,-0.00051115305404841,-0.0100570702078589,-0.00187300040684383,-0.00252569965502584,-0.0314090790870747,0
28,optimista,0.00434322515700602,0.00695389682359948,0.0396830611317046,0.0405751696398596,0.0387909526235496,-0.000522974852559949,-0.000497823352446209,-0.00931584020609279,-0.00185812871344434,-0.00249194747664741,-0.0295509503736304,0
29,optimista,0.00440045316607746,0.00649370058085274,0.0380090427488876,0.0386326662168785,0.0373854192808967,-0.000494637565623871,-0.000485093648211509,-0.00859259836201142,-0.00183811666864448,-0.00245923304175131,-0.0277128337049859,0
30,optimista,0.00447702804724439,0.0060647937314453,0.036482420114867,0.0368543776590053,0.0361104625707288,-0.000469091460867436,-0.000473018841380661,-0.00788984184641492,-0.00181372199230269,-0.00242747964240116,-0.0258991117126832,0
31,optimista,0.00457144249882312,0.00566361643718911,0.0351046766517527,0.0352431573044746,0.0349661959990308,-0.000446248563741422,-0.000461639359500679,-0.00720930276008546,-0.00178569375331332,-0.00239661643184042,-0.0241134179593698,0
32,optimista,0.00468197338574032,0.00528653808233115,0.0338739707921938,0.0337980521735501,0.0339498894108374,-0.000425998816021583,-0.00045098186949366,-0.0065520356169955,-0.00175475279458151,-0.00236657868966882,-0.0223586651647883,0
33,optimista,0.0048067799130662,0.00492998714292595,0.0327858166037993,0.0325150393557054,0.0330565938518933,-0.000408213144091639,-0.000441060308697319,-0.00591851021834836,-0.0017215770914007,-0.00233730785479368,-0.0206370880733876,0
34,optimista,0.00494398135997642,0.00459054746925815,0.0318336933410017,0.0313876888804346,0.0322796978015687,-0.00039274693061821,-0.000431877127983399,-0.00530870460853011,-0.00168679138207362,-0.0023087513903467,-0.018950296691314,0
35,optimista,0.00509171770427708,0.00426502701260361,0.0310095835227816,0.0304077522657528,0.0316114147798103,-0.000379443648027679,-0.000423424659103112,-0.00472219442831787,-0.00165096043455264,-0.00228086252915551,-0.0172993362567614,0
36,optimista,0.00524819587350397,0.00395050399202977,0.0303044409414792,0.0295656778155341,0.0310432040674243,-0.000368138468041098,-0.000415686535400223,-0.00415823622698144,-0.0016145853517641,-0.0022535999369557,-0.0156847509049973,0
37,optimista,0.00541172392246396,0.00364435470866804,0.029708591412066,0.0288510552165983,0.0305661276075338,-0.000358661708871249,-0.000408639109906506,-0.00361584323741399,-0.00157810236584628,-0.00222692732203986,-0.014106648539151,0
38,optimista,0.00558073510520687,0.0033442665889115,0.0292120701219253,0.0282529931136691,0.0301711471301816,-0.000350842021406487,-0.000402252827734677,-0.00309385282142988,-0.0015418836239266,-0.0022008130135961,-0.0125647649152244,0
39,optimista,0.00575380354639705,0.00304823952128537,0.0288049001856838,0.0277604341589646,0.029849366212403,-0.00034450924862081,-0.000396493520757683,-0.00259098530880057,-0.00150623952246077,-0.00217522952599708,-0.0110585253927636,0
40,optimista,0.00592965299993165,0.0027545781115753,0.0284773174927352,0.0273624125856298,0.0295922223998406,-0.000339496919333106,-0.000391323601959915,-0.00210589432576015,-0.00147142220147783,-0.00215015312236319,-0.00958710319128578,0
41,optimista,0.00610715999681225,0.00246187709716737,0.0282199471985637,0.0270482596805866,0.0293916347165408,-0.000335644359017794,-0.000386703144715658,-0.00163720896982471,-0.00143762986280877,-0.00212556338756716,-0.008149473328477,0
