negyedev,szcenario,y,y_S,y_L,ii,i_S,i_L,c,nn,efp_S,efp_L,nw_S,nw_L,infl,r,rer,xx,sov,bank
13,optimista,0.000949954970816399,0.00112896715996358,0.000731162295192066,0.00732809607206741,0.00862776102603479,0.00602843111810004,-0.000792900612179436,0.000725596753219415,-0.000570293039843869,-0.000394579580099157,0.00602358682203234,0.00466148726765852,-0.000196510902416047,-0.000153456787003811,0.000605066860392612,0.000605066860392612,-0.004375,-0.0004375
14,optimista,0.000994868070806336,0.00119045448959962,0.000755818003392323,0.00754788313103458,0.00888171779124546,0.00621404847082371,-0.000764968716177864,0.0007237744445023,-0.000896229766912495,-0.000564095732850768,0.00485556206036804,0.00373493929225133,-0.000204612188098236,-0.000159277384262361,0.000633673930449896,0.000633673930449896,-0.005,-0.000875
15,optimista,0.00103920431955282,0.00125132765633676,0.000779942463483564,0.00767215190094481,0.00900831448878037,0.00633598931310924,-0.000734734848062293,0.000720125535818211,-0.0012154275485433,-0.000731845368102837,0.00325051471164265,0.00255679407715354,-0.000212685088834707,-0.000165247326071481,0.000661913579333007,0.000661913579333007,-0.005625,-0.0013125
16,optimista,0.00108230914843563,0.0013105981742318,0.000803289228018087,0.00769605455281672,0.0090015980623708,0.00639051104326262,-0.000702519301011165,0.000714863598357462,-0.00153041791220299,-0.000898281380143574,0.0012405391022747,0.00114273613885512,-0.00022050652292263,-0.000171292089023083,0.000689368884353904,0.000689368884353904,-0.00625,-0.00175
17,optimista,0.00112365688266172,0.0013674133047453,0.000825732366781788,0.00761385654834282,0.00885426435175665,0.006373448744929,-0.000668649516948911,0.000708429212287316,-0.00142485370221608,-0.000870094777602728,-0.00114772307938757,-0.000493130193689968,-0.000227886594655403,-0.000177308227548544,0.000715705020803645,0.000715705020803645,-0.00625,-0.00175
18,optimista,0.00116301012637669,0.00142128894692765,0.000847336012369969,0.00754652717666787,0.0087321148150668,0.00636093953826895,-0.000633462843023143,0.000701776849909844,-0.00133154404491853,-0.000844200132390636,-0.00325611455278663,-0.00199766525564227,-0.000234697352959495,-0.000183180534767267,0.000740770781131651,0.000740770781131651,-0.00625,-0.00175
19,optimista,0.00120038481417709,0.00147218030201368,0.000868190329043482,0.00749219883873748,0.00863202280615251,0.00635237487132244,-0.000597259897521321,0.000694585461217406,-0.00124908106585609,-0.000820422372966825,-0.00511725577342346,-0.0033814637255367,-0.000241041903536186,-0.000188847378520242,0.000764576314762477,0.000764576314762477,-0.00625,-0.00175
20,optimista,0.00123589555289395,0.00152023660693939,0.000888367597949529,0.00744923759536821,0.00855125319379943,0.00634722199693699,-0.000560292725909943,0.000686765775971779,-0.00117621479172601,-0.000798598731816443,-0.00675999620485354,-0.00465428285974906,-0.000246972927320755,-0.000194272392190072,0.000787194619677675,0.000787194619677675,-0.00625,-0.00175
21,optimista,0.00126968679100919,0.00156568226945988,0.000907914539569445,0.00741620028193993,0.00848740018019908,0.00634500038368079,-0.000522766425905946,0.000678328097572146,-0.00111183797900448,-0.000778578739998528,-0.00820984287803439,-0.005825105987929,-0.000252518791570236,-0.000199431381447898,0.000808717701279736,0.000808717701279736,-0.00625,-0.00175
22,optimista,0.00130190337921062,0.00160876020382213,0.0009268561491299,0.00739180528643793,0.00843834118734011,0.00634526938553574,-0.000484845115663346,0.000669320975272792,-0.00105497100730905,-0.000760223696996066,-0.00948934446221949,-0.00690220282407997,-0.000257695882646907,-0.000204306285472125,0.000829237821153264,0.000829237821153264,-0.00625,-0.00175
23,optimista,0.00133267894022,0.00164970575062453,0.000945201727503363,0.00737491069333128,0.00840220022540109,0.00634762116126146,-0.000446658566251255,0.000659803352193942,-0.00100474773690582,-0.000743405943666875,-0.0106184331702183,-0.00789318583034655,-0.000262514446683483,-0.000208882388877245,0.000848840089312103,0.000848840089312103,-0.00625,-0.00175
24,optimista,0.00136213210458885,0.0016887355753455,0.000962950084775167,0.0073644967500464,0.00837731742631599,0.00635167607377681,-0.000408308182751675,0.000649832416751206,-0.000960402643355979,-0.00072800808540783,-0.0116147280718042,-0.00880506248482376,-0.000266981383432824,-0.000213147023516922,0.000867600066617103,0.000867600066617103,-0.00625,-0.00175
25,optimista,0.00139036608538549,0.00172604382852259,0.000980093288217924,0.00735965114654522,0.00836222299182908,0.00635707930126135,-0.000369871995606104,0.000639458740722842,-0.000921259278991013,-0.000713922229288103,-0.0124938036861151,-0.00964428357068683,-0.000271101616996247,-0.000217088951777775,0.000885583493876109,0.000885583493876109,-0.00625,-0.00175
